user_key	month_day	day	step_num	kcal	km	time	speed
user_6	0530	WEN	11902	238	5.951	63	1.7
user_5	0530	WEN	13336	267	6.668	112	2.4
user_57	0529	TUE	3035	61	1.5175	25	3
user_35	0531	THR	5935	119	2.9675	7	0.9
user_91	0601	FRI	9569	191	4.7845	87	8.8
user_7	0522	TUE	5420	108	2.71	112	6.5
user_83	0523	WEN	518	10	0.259	105	8.3
user_41	0525	FRI	9312	186	4.656	60	2.2
user_94	0527	SUN	17533	351	8.7665	45	8.9
user_89	0525	FRI	2997	60	1.4985	109	8.4
user_76	0529	TUE	5588	112	2.794	40	4.2
user_62	0522	TUE	17169	343	8.5845	7	4.4
user_32	0522	TUE	18524	370	9.262	97	4
user_70	0528	MON	2465	49	1.2325	21	1.8
user_53	0529	TUE	10406	208	5.203	66	5.9
user_8	0523	WEN	10753	215	5.3765	51	3.9
user_40	0528	MON	10179	204	5.0895	117	3.9
user_88	0531	THR	12347	247	6.1735	53	5.4
user_78	0523	WEN	19536	391	9.768	24	1.3
user_65	0525	FRI	12962	259	6.481	36	1.8
user_68	0528	MON	19033	381	9.5165	71	0.3
user_77	0601	FRI	14145	283	7.0725	113	9.1
user_49	0528	MON	5767	115	2.8835	75	9.6
user_85	0601	FRI	4506	90	2.253	107	0.8
user_62	0527	SUN	9312	186	4.656	92	6.5
user_53	0524	THR	12603	252	6.3015	109	4.8
user_50	0601	FRI	11437	229	5.7185	14	8.7
user_21	0526	SAT	2391	48	1.1955	36	5.6
user_14	0526	SAT	7809	156	3.9045	67	7
user_75	0523	WEN	5029	101	2.5145	69	1.5
user_44	0530	WEN	18490	370	9.245	32	2.4
user_95	0531	THR	4535	91	2.2675	49	1.3
user_27	0525	FRI	9940	199	4.97	58	6.2
user_94	0524	THR	2833	57	1.4165	12	6
user_15	0527	SUN	2028	41	1.014	110	6.5
user_92	0531	THR	13955	279	6.9775	62	9.1
user_80	0526	SAT	5517	110	2.7585	100	6
user_85	0531	THR	9722	194	4.861	52	5
user_3	0529	TUE	19692	394	9.846	84	6.5
user_85	0522	TUE	16009	320	8.0045	5	2.4
user_47	0526	SAT	18083	362	9.0415	79	5
user_48	0529	TUE	18779	376	9.3895	59	0.6
user_57	0527	SUN	15921	318	7.9605	24	0.8
user_32	0601	FRI	16687	334	8.3435	69	8.2
user_15	0527	SUN	4806	96	2.403	46	7.4
user_78	0529	TUE	1340	27	0.67	63	7.1
user_13	0530	WEN	19890	398	9.945	100	6.8
user_36	0528	MON	15819	316	7.9095	106	7.4
user_7	0527	SUN	5725	115	2.8625	59	5.1
user_68	0531	THR	17221	344	8.6105	79	8.7
user_89	0525	FRI	17181	344	8.5905	93	7.8
user_90	0530	WEN	16713	334	8.3565	119	4.1
user_10	0529	TUE	13549	271	6.7745	72	9.5
user_62	0528	MON	16608	332	8.304	76	5.2
user_25	0528	MON	7888	158	3.944	10	3.7
user_31	0527	SUN	6059	121	3.0295	92	5.7
user_59	0526	SAT	18969	379	9.4845	49	1.8
user_87	0601	FRI	17978	360	8.989	79	5
user_99	0525	FRI	10058	201	5.029	35	9.5
user_43	0522	TUE	15335	307	7.6675	50	5.8
user_12	0524	THR	10504	210	5.252	23	4.6
user_35	0531	THR	19130	383	9.565	53	5.2
user_89	0525	FRI	12786	256	6.393	89	2.4
user_22	0526	SAT	14727	295	7.3635	117	4.7
user_41	0522	TUE	8639	173	4.3195	118	8.7
user_26	0526	SAT	16735	335	8.3675	33	2.8
user_23	0530	WEN	3746	75	1.873	69	7.8
user_32	0529	TUE	11359	227	5.6795	65	5.4
user_66	0526	SAT	15185	304	7.5925	31	3.3
user_21	0522	TUE	5484	110	2.742	59	9.8
user_26	0601	FRI	546	11	0.273	36	3.3
user_58	0524	THR	12811	256	6.4055	78	9.1
user_51	0529	TUE	225	5	0.1125	99	4.8
user_31	0524	THR	17283	346	8.6415	82	3
user_12	0526	SAT	5951	119	2.9755	22	5.9
user_99	0527	SUN	14654	293	7.327	42	7
user_74	0522	TUE	9078	182	4.539	19	8.9
user_6	0529	TUE	11820	236	5.91	46	6.4
user_95	0527	SUN	7851	157	3.9255	86	1.2
user_47	0601	FRI	12039	241	6.0195	22	5
user_65	0523	WEN	17062	341	8.531	75	1.8
user_99	0525	FRI	3864	77	1.932	76	1.9
user_57	0527	SUN	15204	304	7.602	27	9.6
user_23	0527	SUN	14231	285	7.1155	43	1.2
user_34	0528	MON	3427	69	1.7135	43	4.4
user_66	0526	SAT	16143	323	8.0715	76	6.1
user_21	0523	WEN	13897	278	6.9485	105	9.1
user_43	0522	TUE	7809	156	3.9045	120	6.1
user_92	0601	FRI	4649	93	2.3245	62	2.8
user_97	0530	WEN	4307	86	2.1535	105	0.7
user_37	0528	MON	19413	388	9.7065	73	8.4
user_5	0531	THR	13052	261	6.526	59	7.1
user_20	0524	THR	6652	133	3.326	12	2.7
user_23	0524	THR	14545	291	7.2725	46	2.7
user_29	0530	WEN	15949	319	7.9745	72	8.8
user_68	0527	SUN	10315	206	5.1575	100	4.1
user_98	0531	THR	14351	287	7.1755	118	8.7
user_97	0528	MON	1026	21	0.513	29	3.5
user_20	0524	THR	8016	160	4.008	32	0.5
user_46	0523	WEN	8816	176	4.408	43	6.4
user_20	0527	SUN	5181	104	2.5905	7	2.3
user_85	0529	TUE	1973	39	0.9865	110	0.1
user_11	0522	TUE	839	17	0.4195	33	9.5
user_22	0523	WEN	8953	179	4.4765	18	6.2
user_26	0528	MON	19306	386	9.653	56	3.4
user_39	0528	MON	5523	110	2.7615	68	4.8
user_30	0524	THR	639	13	0.3195	29	9.8
user_74	0525	FRI	16936	339	8.468	49	8.3
user_79	0528	MON	2415	48	1.2075	16	8
user_47	0525	FRI	14794	296	7.397	74	1.8
user_57	0522	TUE	8373	167	4.1865	54	4.4
user_76	0531	THR	6980	140	3.49	92	6.6
user_5	0525	FRI	5351	107	2.6755	23	4
user_69	0530	WEN	5072	101	2.536	38	6.8
user_34	0524	THR	6456	129	3.228	10	6.1
user_22	0601	FRI	8145	163	4.0725	77	8.9
user_24	0528	MON	7829	157	3.9145	99	9.7
user_23	0528	MON	1811	36	0.9055	69	5.9
user_81	0527	SUN	12995	260	6.4975	107	0.4
user_96	0524	THR	9630	193	4.815	45	8.4
user_82	0526	SAT	5442	109	2.721	68	2.7
user_16	0523	WEN	17163	343	8.5815	113	2.4
user_97	0523	WEN	10556	211	5.278	97	4.1
user_46	0524	THR	19680	394	9.84	37	6.8
user_95	0601	FRI	15288	306	7.644	12	6.6
user_66	0529	TUE	728	15	0.364	38	4.1
user_75	0523	WEN	19326	387	9.663	73	1.2
user_70	0528	MON	5099	102	2.5495	48	2
user_98	0529	TUE	10396	208	5.198	114	2.9
user_9	0529	TUE	17903	358	8.9515	27	6.6
user_79	0526	SAT	10311	206	5.1555	57	2.1
user_22	0524	THR	18352	367	9.176	104	1.6
user_81	0522	TUE	3851	77	1.9255	15	2.3
user_88	0528	MON	8112	162	4.056	91	6.4
user_60	0523	WEN	4356	87	2.178	66	7.4
user_57	0523	WEN	4155	83	2.0775	66	7.8
user_6	0531	THR	12051	241	6.0255	102	3.3
user_7	0529	TUE	16661	333	8.3305	80	3.9
user_56	0528	MON	1443	29	0.7215	63	2.6
user_85	0531	THR	4942	99	2.471	70	1.9
user_16	0531	THR	4387	88	2.1935	91	5.6
user_43	0525	FRI	17850	357	8.925	85	6.9
user_99	0528	MON	8727	175	4.3635	108	6.8
user_24	0524	THR	2789	56	1.3945	29	6.4
user_73	0528	MON	16690	334	8.345	115	3.3
user_19	0601	FRI	13761	275	6.8805	82	1.7
user_44	0531	THR	9862	197	4.931	72	3.2
user_92	0522	TUE	5533	111	2.7665	89	6.1
user_38	0526	SAT	15579	312	7.7895	26	9.4
user_42	0524	THR	15354	307	7.677	108	5.9
user_6	0531	THR	13896	278	6.948	5	0.4
user_39	0530	WEN	14673	293	7.3365	63	5.2
user_39	0601	FRI	5687	114	2.8435	61	1.2
user_73	0523	WEN	8871	177	4.4355	11	5.5
user_20	0531	THR	10967	219	5.4835	20	4.7
user_100	0529	TUE	18364	367	9.182	24	3.1
user_54	0527	SUN	863	17	0.4315	61	5.3
user_98	0527	SUN	13396	268	6.698	72	3.4
user_66	0526	SAT	19500	390	9.75	112	9.5
user_80	0530	WEN	11003	220	5.5015	102	4.5
user_52	0528	MON	4215	84	2.1075	57	0.5
user_11	0523	WEN	4276	86	2.138	108	9.5
user_70	0531	THR	3670	73	1.835	113	2.5
user_48	0526	SAT	7574	151	3.787	89	5.6
user_3	0601	FRI	17062	341	8.531	40	6.8
user_21	0527	SUN	1975	40	0.9875	97	5.5
user_93	0522	TUE	12774	255	6.387	90	8.2
user_18	0522	TUE	5728	115	2.864	51	4.9
user_35	0601	FRI	7370	147	3.685	67	6.1
user_62	0525	FRI	3825	77	1.9125	18	5.8
user_25	0522	TUE	7549	151	3.7745	36	8.3
user_66	0531	THR	176	4	0.088	57	5.4
user_65	0529	TUE	19646	393	9.823	47	6.9
user_31	0522	TUE	8698	174	4.349	6	4.4
user_25	0524	THR	17187	344	8.5935	43	6.4
user_37	0524	THR	10343	207	5.1715	86	3.9
user_19	0526	SAT	7817	156	3.9085	24	4.3
user_97	0525	FRI	492	10	0.246	80	8.3
user_89	0528	MON	3980	80	1.99	6	2.7
user_50	0529	TUE	10633	213	5.3165	46	0.9
user_85	0523	WEN	18042	361	9.021	75	9.8
user_3	0525	FRI	4029	81	2.0145	104	8.4
user_95	0528	MON	10647	213	5.3235	18	8.3
user_22	0523	WEN	9260	185	4.63	15	0.5
user_57	0526	SAT	7509	150	3.7545	106	5.5
user_89	0524	THR	16046	321	8.023	91	10
user_6	0529	TUE	19325	387	9.6625	52	6.2
user_14	0524	THR	7440	149	3.72	109	6
user_6	0526	SAT	16657	333	8.3285	92	3.8
user_36	0523	WEN	11031	221	5.5155	80	4.9
user_96	0531	THR	4558	91	2.279	59	5.9
user_65	0527	SUN	2368	47	1.184	21	0.2
user_66	0601	FRI	18647	373	9.3235	48	5.8
user_74	0524	THR	16638	333	8.319	63	8.9
user_32	0525	FRI	10786	216	5.393	6	3.6
user_31	0527	SUN	5210	104	2.605	91	0.6
user_60	0530	WEN	9043	181	4.5215	117	2.3
user_80	0529	TUE	10763	215	5.3815	91	8.6
user_65	0522	TUE	2569	51	1.2845	105	0.2
user_56	0522	TUE	12988	260	6.494	114	0.7
user_25	0531	THR	7748	155	3.874	84	8
user_87	0527	SUN	7537	151	3.7685	109	6.2
user_1	0401	SUN	11095	222	5.5475	9	4.6
user_1	0402	MON	11853	237	5.9265	85	3.2
user_1	0403	TUE	17978	360	8.989	27	0.9
user_1	0404	WEN	13854	277	6.927	76	1
user_1	0405	THR	17704	354	8.852	97	4.9
user_1	0406	FRI	7095	142	3.5475	12	8.8
user_1	0407	SAT	10564	211	5.282	21	8.9
user_1	0408	SUN	17349	347	8.6745	34	5.9
user_1	0409	MON	9288	186	4.644	98	0.2
user_1	0410	TUE	11966	239	5.983	100	10
user_1	0411	WEN	19548	391	9.774	97	0.4
user_1	0412	THR	19404	388	9.702	64	5.4
user_1	0413	FRI	3789	76	1.8945	88	9.4
user_1	0414	SAT	14593	292	7.2965	74	2.4
user_1	0415	SUN	8840	177	4.42	51	3.8
user_1	0416	MON	18974	379	9.487	74	3.5
user_1	0417	TUE	10970	219	5.485	85	1.3
user_1	0418	WEN	305	6	0.1525	21	4
user_1	0419	THR	12054	241	6.027	51	8.2
user_1	0420	FRI	11292	226	5.646	39	2.4
user_1	0421	SAT	10280	206	5.14	37	4
user_1	0422	SUN	15019	300	7.5095	102	5.5
user_1	0423	MON	17897	358	8.9485	95	6.4
user_1	0424	TUE	16897	338	8.4485	101	8.2
user_1	0425	WEN	5374	107	2.687	46	0.5
user_1	0426	THR	2375	48	1.1875	45	1.2
user_1	0427	FRI	7139	143	3.5695	114	6.6
user_1	0428	SAT	10654	213	5.327	66	1.9
user_1	0429	SUN	12784	256	6.392	52	1.5
user_1	0430	MON	258	5	0.129	29	1.4
user_1	0501	TUE	15263	305	7.6315	43	6.6
user_1	0502	WEN	7262	145	3.631	27	8
user_1	0503	THR	2227	45	1.1135	54	5.4
user_1	0504	FRI	2161	43	1.0805	11	2.7
user_1	0505	SAT	10113	202	5.0565	27	8.9
user_1	0506	SUN	9304	186	4.652	111	3.8
user_1	0507	MON	14544	291	7.272	59	1.9
user_1	0508	TUE	3394	68	1.697	84	5.5
user_1	0509	WEN	10965	219	5.4825	28	2.9
user_1	0510	THR	18090	362	9.045	61	3.1
user_1	0511	FRI	1317	26	0.6585	36	6.1
user_1	0512	SAT	18798	376	9.399	28	6.3
user_1	0513	SUN	4687	94	2.3435	19	4.2
user_1	0514	MON	16121	322	8.0605	102	8.5
user_1	0515	TUE	15993	320	7.9965	59	2.4
user_1	0516	WEN	494	10	0.247	95	9.8
user_1	0517	THR	2898	58	1.449	60	1.7
user_1	0518	FRI	6682	134	3.341	88	3
user_1	0519	SAT	16274	325	8.137	92	6.5
user_1	0520	SUN	4312	86	2.156	45	2.6
user_1	0521	MON	9344	187	4.672	119	8.7
user_1	0522	TUE	19664	393	9.832	16	9.8
user_1	0523	WEN	15830	317	7.915	39	8.8
user_1	0524	THR	18678	374	9.339	9	6.3
user_1	0525	FRI	5399	108	2.6995	44	6.5
user_1	0526	SAT	19449	389	9.7245	25	1.2
user_1	0527	SUN	615	12	0.3075	36	4.1
user_1	0528	MON	1119	22	0.5595	74	8.5
user_1	0529	TUE	7891	158	3.9455	52	3.9
user_1	0530	WEN	15574	311	7.787	91	0.4
user_1	0531	THR	17037	341	8.5185	86	1.3
user_1	0601	FRI	17535	351	8.7675	112	3.4
user_1	0602	SAT	7520	150	3.76	30	2.4￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿兩兩兩￿〣〣〣覉΃΃΃ਊččč̃
